1	2	---					4.9e-05
1	3	0.0390625	0.0703125	1	1	1	1.1e-05
1	4	0.0390625	0.0703125	1	1	1	1e-05
1	5	0.0390625	0.0703125	1	1	1	1.3e-05
1	6	0.0390625	0.0703125	1	1	1	9e-06
1	7	0.0390625	0.0703125	1	1	1	8e-06
1	8	0.0390625	0.0703125	1	1	1	9e-06
1	9	0.0390625	0.0703125	1	1	1	9e-06
1	10	0.0390625	0.0703125	1	1	1	9e-06
1	11	0.0390625	0.0703125	1	1	1	9e-06
1	12	0.0390625	0.0703125	1	1	1	9e-06
1	13	0.0390625	0.0703125	1	1	1	9e-06
1	14	0.0390625	0.0703125	1	1	1	8e-06
1	15	0.0390625	0.0703125	1	1	1	2.7e-05
1	16	0.0390625	0.0703125	1	1	1	9e-06
1	17	0.0390625	0.0703125	1	1	1	9e-06
1	18	0.0390625	0.0703125	1	1	1	9e-06
1	19	0.0390625	0.0703125	1	1	1	9e-06
1	20	0.0390625	0.0703125	1	1	1	8e-06
1	21	0.0390625	0.0703125	1	1	1	9e-06
1	22	0.0390625	0.0703125	1	1	1	1.5e-05
1	23	0.0390625	0.0703125	1	1	1	9e-06
1	24	0.0390625	0.0703125	1	1	1	8e-06
1	25	0.0390625	0.0703125	1	1	1	9e-06
1	26	0.0390625	0.0703125	1	1	1	9e-06
1	27	0.0390625	0.0703125	1	1	1	9e-06
1	28	0.0390625	0.0703125	1	1	1	9e-06
1	29	0.0390625	0.0703125	1	1	1	9e-06
1	30	0.0390625	0.0703125	1	1	1	9e-06
1	31	0.0390625	0.0703125	1	1	1	8e-06
2	3	---					6e-06
2	4	---					6e-06
2	5	---					6e-06
2	6	---					6e-06
2	7	---					6e-06
2	8	---					6e-06
2	9	---					6e-06
2	10	---					6e-06
2	11	---					6e-06
2	12	---					6e-06
2	13	---					5e-06
2	14	---					6e-06
2	15	---					6e-06
2	16	---					6e-06
2	17	---					6e-06
2	18	---					6e-06
2	19	---					6e-06
2	20	---					6e-06
2	21	---					6e-06
2	22	---					3.2e-05
2	23	---					6e-06
2	24	---					6e-06
2	25	---					6e-06
2	26	---					6e-06
2	27	---					6e-06
2	28	---					6e-06
2	29	---					6e-06
2	30	---					6e-06
2	31	---					6e-06
3	4	---					6e-06
3	5	---					6e-06
3	6	---					6e-06
3	7	---					6e-06
3	8	---					6e-06
3	9	---					6e-06
3	10	---					6e-06
3	11	---					6e-06
3	12	---					6e-06
3	13	---					6e-06
3	14	---					6e-06
3	15	---					6e-06
3	16	---					6e-06
3	17	---					6e-06
3	18	---					6e-06
3	19	---					6e-06
3	20	---					6e-06
3	21	---					6e-06
3	22	---					6e-06
3	23	---					6e-06
3	24	---					6e-06
3	25	---					6e-06
